subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
85,1,2025-03-10,0-30min,24,8,119,0.5
85,2,2025-03-11,0-30min,15,5,82,0.5
85,3,2025-03-12,0-30min,3,0,61,1.0
85,4,2025-03-13,0-30min,22,10,47,0.375
85,5,2025-03-14,0-30min,20,8,118,0.42857142857142855
85,6,2025-03-17,0-30min,32,10,44,0.5238095238095238
85,7,2025-03-18,0-30min,19,8,40,0.4074074074074074
85,8,2025-03-19,0-30min,11,8,41,0.15789473684210525
85,9,2025-03-20,0-30min,14,4,20,0.5555555555555556
85,10,2025-03-21,0-30min,20,10,67,0.3333333333333333
