subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
84,1,2025-03-10,0-30min,13,5,114,0.4444444444444444
84,2,2025-03-11,0-30min,33,8,169,0.6097560975609756
84,3,2025-03-12,0-30min,35,9,148,0.5909090909090909
84,4,2025-03-13,0-30min,29,9,105,0.5263157894736842
84,5,2025-03-14,0-30min,24,14,129,0.2631578947368421
84,6,2025-03-17,0-30min,13,2,73,0.7333333333333333
84,7,2025-03-18,0-30min,18,16,59,0.058823529411764705
84,8,2025-03-19,0-30min,38,8,100,0.6521739130434783
84,9,2025-03-20,0-30min,21,3,240,0.75
84,10,2025-03-21,0-30min,23,9,251,0.4375
