subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
79,1,2025-03-10,0-30min,3,1,76,0.5
79,2,2025-03-11,0-30min,5,1,192,0.6666666666666666
79,3,2025-03-12,0-30min,9,9,148,0.0
79,4,2025-03-13,0-30min,7,1,252,0.75
79,5,2025-03-14,0-30min,13,6,167,0.3684210526315789
79,6,2025-03-17,0-30min,7,5,455,0.16666666666666666
79,7,2025-03-18,0-30min,2,1,407,0.3333333333333333
79,8,2025-03-19,0-30min,9,6,388,0.2
79,9,2025-03-20,0-30min,5,1,570,0.6666666666666666
79,10,2025-03-21,0-30min,17,5,554,0.5454545454545454
