subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
77,1,2025-03-24,0-60min,17,5,65,0.5454545454545454
77,2,2025-03-25,0-60min,19,11,67,0.26666666666666666
77,3,2025-03-26,0-60min,32,28,59,0.06666666666666667
77,4,2025-03-27,0-60min,30,9,51,0.5384615384615384
77,5,2025-03-28,0-60min,36,12,89,0.5
77,6,2025-03-31,0-60min,16,7,97,0.391304347826087
77,7,2025-04-01,0-60min,20,9,57,0.3793103448275862
77,8,2025-04-02,0-60min,19,5,37,0.5833333333333334
77,9,2025-04-03,0-60min,28,9,121,0.5135135135135135
77,10,2025-04-04,0-60min,24,5,54,0.6551724137931034
77,11,2025-04-07,0-60min,29,10,119,0.48717948717948717
77,12,2025-04-08,0-60min,40,5,47,0.7777777777777778
77,13,2025-04-09,0-60min,15,4,26,0.5789473684210527
77,14,2025-04-10,0-60min,25,2,26,0.8518518518518519
77,15,2025-04-11,0-60min,22,4,28,0.6923076923076923
