subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
84,1,2025-03-24,0-60min,41,9,336,0.64
84,2,2025-03-25,0-60min,40,15,281,0.45454545454545453
84,3,2025-03-26,0-60min,37,13,287,0.48
84,4,2025-03-27,0-60min,51,8,212,0.7288135593220338
84,5,2025-03-28,0-60min,49,10,262,0.6610169491525424
84,6,2025-03-31,0-60min,39,9,288,0.625
84,7,2025-04-01,0-60min,46,12,317,0.5862068965517241
84,8,2025-04-02,0-60min,47,8,245,0.7090909090909091
84,9,2025-04-03,0-60min,32,9,555,0.5609756097560976
84,10,2025-04-04,0-60min,35,13,401,0.4583333333333333
84,11,2025-04-07,0-60min,63,16,251,0.5949367088607594
84,12,2025-04-08,0-60min,70,13,261,0.6867469879518072
84,13,2025-04-09,0-60min,48,9,202,0.6842105263157895
84,14,2025-04-10,0-60min,46,13,118,0.559322033898305
84,15,2025-04-11,0-60min,35,12,177,0.48936170212765956
