subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
92,1,2025-03-24,0-60min,53,18,91,0.49295774647887325
92,2,2025-03-25,0-60min,45,22,106,0.34328358208955223
92,3,2025-03-26,0-60min,50,29,61,0.26582278481012656
92,4,2025-03-27,0-60min,63,29,98,0.3695652173913043
92,5,2025-03-28,0-60min,82,23,44,0.5619047619047619
92,6,2025-03-31,0-60min,69,23,50,0.5
92,7,2025-04-01,0-60min,39,44,76,-0.060240963855421686
92,8,2025-04-02,0-60min,39,42,48,-0.037037037037037035
92,9,2025-04-03,0-60min,32,46,52,-0.1794871794871795
92,10,2025-04-04,0-60min,28,36,39,-0.125
92,11,2025-04-07,0-60min,39,48,91,-0.10344827586206896
92,12,2025-04-08,0-60min,41,42,43,-0.012048192771084338
92,13,2025-04-09,0-60min,30,46,64,-0.21052631578947367
92,14,2025-04-10,0-60min,37,32,49,0.07246376811594203
92,15,2025-04-11,0-60min,70,37,78,0.308411214953271
