subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
94,1,2025-03-24,0-60min,6,9,61,-0.2
94,2,2025-03-25,0-60min,8,5,116,0.23076923076923078
94,3,2025-03-26,0-60min,9,11,123,-0.1
94,4,2025-03-27,0-60min,3,6,69,-0.3333333333333333
94,5,2025-03-28,0-60min,12,12,110,0.0
94,6,2025-03-31,0-60min,9,13,87,-0.18181818181818182
94,7,2025-04-01,0-60min,6,17,94,-0.4782608695652174
94,8,2025-04-02,0-60min,10,8,88,0.1111111111111111
94,9,2025-04-03,0-60min,8,15,106,-0.30434782608695654
94,10,2025-04-04,0-60min,6,23,91,-0.5862068965517241
94,11,2025-04-07,0-60min,7,17,70,-0.4166666666666667
94,12,2025-04-08,0-60min,16,17,80,-0.030303030303030304
94,13,2025-04-09,0-60min,4,7,110,-0.2727272727272727
94,14,2025-04-10,0-60min,12,6,180,0.3333333333333333
94,15,2025-04-11,0-60min,11,5,174,0.375
