subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
76,1,2025-03-24,0-60min,22,20,128,0.047619047619047616
76,2,2025-03-25,0-60min,25,29,71,-0.07407407407407407
76,3,2025-03-26,0-60min,17,18,61,-0.02857142857142857
76,4,2025-03-27,0-60min,24,30,81,-0.1111111111111111
76,5,2025-03-28,0-60min,34,31,110,0.046153846153846156
76,6,2025-03-31,0-60min,26,17,67,0.20930232558139536
76,7,2025-04-01,0-60min,36,45,92,-0.1111111111111111
76,8,2025-04-02,0-60min,30,11,27,0.4634146341463415
76,9,2025-04-03,0-60min,49,24,77,0.3424657534246575
76,10,2025-04-04,0-60min,62,33,71,0.30526315789473685
76,11,2025-04-07,0-60min,39,12,52,0.5294117647058824
76,12,2025-04-08,0-60min,106,7,48,0.8761061946902655
76,13,2025-04-09,0-60min,56,21,94,0.45454545454545453
76,14,2025-04-10,0-60min,30,3,38,0.8181818181818182
76,15,2025-04-11,0-60min,59,9,76,0.7352941176470589
