subject,phase,group,bin_start_min,bin_end_min,active_lever_presses,inactive_lever_presses,session_time
86,SelfAdmin,One,0,5,1,1,0-5 min
86,SelfAdmin,One,5,10,0,1,5-10 min
86,SelfAdmin,One,10,15,0,0,10-15 min
86,SelfAdmin,One,15,20,1,1,15-20 min
86,SelfAdmin,One,20,25,2,0,20-25 min
86,SelfAdmin,One,25,30,5,0,25-30 min
86,SelfAdmin,One,30,35,1,0,30-35 min
86,SelfAdmin,One,35,40,1,0,35-40 min
86,SelfAdmin,One,40,45,0,0,40-45 min
86,SelfAdmin,One,45,50,2,0,45-50 min
86,SelfAdmin,One,50,55,0,0,50-55 min
86,SelfAdmin,One,55,60,0,0,55-60 min
87,SelfAdmin,One,0,5,1,5,0-5 min
87,SelfAdmin,One,5,10,1,0,5-10 min
87,SelfAdmin,One,10,15,6,1,10-15 min
87,SelfAdmin,One,15,20,2,1,15-20 min
87,SelfAdmin,One,20,25,2,2,20-25 min
87,SelfAdmin,One,25,30,3,0,25-30 min
87,SelfAdmin,One,30,35,2,1,30-35 min
87,SelfAdmin,One,35,40,1,1,35-40 min
87,SelfAdmin,One,40,45,0,0,40-45 min
87,SelfAdmin,One,45,50,1,2,45-50 min
87,SelfAdmin,One,50,55,1,0,50-55 min
87,SelfAdmin,One,55,60,1,0,55-60 min
88,SelfAdmin,One,0,5,1,0,0-5 min
88,SelfAdmin,One,5,10,4,0,5-10 min
88,SelfAdmin,One,10,15,2,3,10-15 min
88,SelfAdmin,One,15,20,3,0,15-20 min
88,SelfAdmin,One,20,25,0,1,20-25 min
88,SelfAdmin,One,25,30,3,2,25-30 min
88,SelfAdmin,One,30,35,3,1,30-35 min
88,SelfAdmin,One,35,40,2,1,35-40 min
88,SelfAdmin,One,40,45,4,1,40-45 min
88,SelfAdmin,One,45,50,1,0,45-50 min
88,SelfAdmin,One,50,55,1,3,50-55 min
88,SelfAdmin,One,55,60,5,0,55-60 min
89,SelfAdmin,One,0,5,1,0,0-5 min
89,SelfAdmin,One,5,10,1,1,5-10 min
89,SelfAdmin,One,10,15,1,0,10-15 min
89,SelfAdmin,One,15,20,2,0,15-20 min
89,SelfAdmin,One,20,25,1,0,20-25 min
89,SelfAdmin,One,25,30,2,4,25-30 min
89,SelfAdmin,One,30,35,4,1,30-35 min
89,SelfAdmin,One,35,40,3,0,35-40 min
89,SelfAdmin,One,40,45,1,0,40-45 min
89,SelfAdmin,One,45,50,2,2,45-50 min
89,SelfAdmin,One,50,55,0,1,50-55 min
89,SelfAdmin,One,55,60,3,1,55-60 min
90,SelfAdmin,One,0,5,0,0,0-5 min
90,SelfAdmin,One,5,10,0,0,5-10 min
90,SelfAdmin,One,10,15,0,0,10-15 min
91,SelfAdmin,One,0,5,0,0,0-5 min
91,SelfAdmin,One,5,10,0,0,5-10 min
91,SelfAdmin,One,10,15,0,0,10-15 min
92,SelfAdmin,One,0,5,0,0,0-5 min
92,SelfAdmin,One,5,10,0,0,5-10 min
92,SelfAdmin,One,10,15,0,0,10-15 min
90,SelfAdmin,One,0,5,3,1,0-5 min
90,SelfAdmin,One,5,10,3,1,5-10 min
90,SelfAdmin,One,10,15,2,0,10-15 min
90,SelfAdmin,One,15,20,0,1,15-20 min
90,SelfAdmin,One,20,25,1,2,20-25 min
90,SelfAdmin,One,25,30,3,3,25-30 min
90,SelfAdmin,One,30,35,2,1,30-35 min
90,SelfAdmin,One,35,40,1,0,35-40 min
90,SelfAdmin,One,40,45,2,0,40-45 min
90,SelfAdmin,One,45,50,2,0,45-50 min
90,SelfAdmin,One,50,55,6,0,50-55 min
90,SelfAdmin,One,55,60,3,7,55-60 min
91,SelfAdmin,One,0,5,0,1,0-5 min
91,SelfAdmin,One,5,10,1,0,5-10 min
91,SelfAdmin,One,10,15,2,1,10-15 min
