filename,subject,experiment,phase,group,box,start_date,end_date,start_time,end_time,msn,F_value,G_value,H_value,I_value,J_value,K_value,L_value,M_value,N_value,O_value,P_value,Q_value,R_value,S_value,U_value,V_value,W_value,X_value,Y_value,Z_value,active_lever_presses,inactive_lever_presses,reinforcers
2025-04-14_09h08m_Subject 73.txt,73,OralFentSA,SelfAdmin,One,1,04/14/25,04/14/25,09:08:48,10:12:42,20241014Golden_Liq_SelfAdmin_REI,0.0,414.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,4,414.0
2025-04-14_09h08m_Subject 74.txt,74,OralFentSA,SelfAdmin,One,2,04/14/25,04/14/25,09:08:51,10:12:42,20241014Golden_Liq_SelfAdmin_REI,0.0,339.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,7,339.0
2025-04-14_09h08m_Subject 75.txt,75,OralFentSA,SelfAdmin,One,3,04/14/25,04/14/25,09:08:54,10:12:42,20241014Golden_Liq_SelfAdmin_REI,0.0,208.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,25,208.0
2025-04-14_09h09m_Subject 76.txt,76,OralFentSA,SelfAdmin,One,4,04/14/25,04/14/25,09:09:10,10:27:35,20241014Golden_Liq_SelfAdmin_REI,0.0,295.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,8,295.0
2025-04-14_09h09m_Subject 77.txt,77,OralFentSA,SelfAdmin,One,5,04/14/25,04/14/25,09:09:23,10:27:35,20241014Golden_Liq_SelfAdmin_REI,0.0,254.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,254.0
2025-04-14_09h09m_Subject 78.txt,78,OralFentSA,SelfAdmin,One,6,04/14/25,04/14/25,09:09:27,10:27:35,20241014Golden_Liq_SelfAdmin_REI,0.0,187.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,13,187.0
2025-04-14_09h09m_Subject 79.txt,79,OralFentSA,SelfAdmin,One,7,04/14/25,04/14/25,09:09:30,10:46:20,20241014Golden_Liq_SelfAdmin_REI,0.0,628.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,44,628.0
2025-04-14_09h09m_Subject 80.txt,80,OralFentSA,SelfAdmin,One,8,04/14/25,04/14/25,09:09:46,10:46:20,20241014Golden_Liq_SelfAdmin_REI,0.0,1142.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,11,1142.0
2025-04-14_09h09m_Subject 81.txt,81,OralFentSA,SelfAdmin,One,9,04/14/25,04/14/25,09:09:50,10:46:20,20241014Golden_Liq_SelfAdmin_REI,0.0,232.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,13,232.0
2025-04-14_09h09m_Subject 82.txt,82,OralFentSA,SelfAdmin,One,10,04/14/25,04/14/25,09:09:54,10:59:40,20241014Golden_Liq_SelfAdmin_REI,0.0,469.0,3600.0,0.0,0.0,0.0,0.0,0.0,20241014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,15,469.0
