subject,phase,group,bin_start_min,bin_end_min,active_lever_presses,inactive_lever_presses,session_time
73,SelfAdmin,One,0,30,7,4,0-30 min
73,SelfAdmin,One,30,60,11,0,30-60 min
74,SelfAdmin,One,0,30,11,7,0-30 min
74,SelfAdmin,One,30,60,3,0,30-60 min
75,SelfAdmin,One,0,30,9,16,0-30 min
75,SelfAdmin,One,30,60,0,9,30-60 min
76,SelfAdmin,One,0,30,11,7,0-30 min
76,SelfAdmin,One,30,60,2,1,30-60 min
77,SelfAdmin,One,0,30,8,2,0-30 min
77,SelfAdmin,One,30,60,6,2,30-60 min
78,SelfAdmin,One,0,30,2,7,0-30 min
78,SelfAdmin,One,30,60,3,6,30-60 min
79,SelfAdmin,One,0,30,15,38,0-30 min
79,SelfAdmin,One,30,60,12,6,30-60 min
80,SelfAdmin,One,0,30,23,5,0-30 min
80,SelfAdmin,One,30,60,31,6,30-60 min
81,SelfAdmin,One,0,30,6,7,0-30 min
81,SelfAdmin,One,30,60,7,6,30-60 min
82,SelfAdmin,One,0,30,16,13,0-30 min
82,SelfAdmin,One,30,60,8,2,30-60 min
83,SelfAdmin,One,0,30,4,6,0-30 min
83,SelfAdmin,One,30,60,0,0,30-60 min
84,SelfAdmin,One,0,30,18,8,0-30 min
84,SelfAdmin,One,30,60,16,8,30-60 min
85,SelfAdmin,One,0,30,7,9,0-30 min
85,SelfAdmin,One,30,60,9,2,30-60 min
86,SelfAdmin,One,0,30,9,3,0-30 min
86,SelfAdmin,One,30,60,4,0,30-60 min
87,SelfAdmin,One,0,30,15,9,0-30 min
87,SelfAdmin,One,30,60,6,4,30-60 min
88,SelfAdmin,One,0,30,13,6,0-30 min
88,SelfAdmin,One,30,60,16,6,30-60 min
89,SelfAdmin,One,0,30,8,5,0-30 min
89,SelfAdmin,One,30,60,13,5,30-60 min
90,SelfAdmin,One,0,30,0,0,0-30 min
91,SelfAdmin,One,0,30,0,0,0-30 min
92,SelfAdmin,One,0,30,0,0,0-30 min
90,SelfAdmin,One,0,30,12,8,0-30 min
90,SelfAdmin,One,30,60,16,8,30-60 min
91,SelfAdmin,One,0,30,7,8,0-30 min
91,SelfAdmin,One,30,60,9,11,30-60 min
92,SelfAdmin,One,0,30,8,11,0-30 min
92,SelfAdmin,One,30,60,9,12,30-60 min
93,SelfAdmin,One,0,30,32,19,0-30 min
93,SelfAdmin,One,30,60,29,26,30-60 min
94,SelfAdmin,One,0,30,3,4,0-30 min
94,SelfAdmin,One,30,60,0,5,30-60 min
95,SelfAdmin,One,0,30,13,3,0-30 min
95,SelfAdmin,One,30,60,11,4,30-60 min
