subject,phase,group,filename,time_seconds,time_minutes,response_code,response_type
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,337.37,5.622833333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,337.94,5.632333333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,381.27,6.3545,2.0,active_lever
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,381.27,6.3545,4.0,other_4
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,381.27,6.3545,22.0,other_22
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,381.28,6.354666666666666,24.0,other_24
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,381.28,6.354666666666666,12.0,other_12
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,381.28,6.354666666666666,13.0,other_13
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,381.28,6.354666666666666,8.0,other_8
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,381.28,6.354666666666666,5.0,other_5
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,381.28,6.354666666666666,17.0,other_17
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,383.5,6.391666666666667,21.0,other_21
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,383.5,6.391666666666667,22.0,other_22
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,385.28,6.421333333333333,18.0,other_18
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,386.28,6.438,14.0,other_14
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,386.28,6.438,10.0,other_10
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,391.27,6.521166666666667,19.0,other_19
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,391.28,6.521333333333333,11.0,other_11
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,512.63,8.543833333333334,2.0,active_lever
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,512.63,8.543833333333334,4.0,other_4
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,512.63,8.543833333333334,22.0,other_22
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,512.64,8.544,24.0,other_24
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,512.64,8.544,12.0,other_12
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,512.64,8.544,13.0,other_13
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,512.64,8.544,8.0,other_8
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,512.64,8.544,5.0,other_5
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,512.64,8.544,17.0,other_17
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,516.64,8.610666666666667,18.0,other_18
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,517.64,8.627333333333333,14.0,other_14
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,517.64,8.627333333333333,10.0,other_10
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,522.63,8.7105,19.0,other_19
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,522.64,8.710666666666667,11.0,other_11
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,524.98,8.749666666666666,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,525.58,8.759666666666668,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,533.01,8.8835,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,533.18,8.886333333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,533.42,8.890333333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,533.95,8.899166666666668,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,538.18,8.969666666666665,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,538.29,8.971499999999999,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,559.82,9.330333333333334,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,559.87,9.331166666666666,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,560.55,9.3425,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,562.19,9.369833333333334,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,563.36,9.389333333333333,6.0,reinforced
