subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
84,1,2025-03-10,0-60min,46,5,180,0.803921568627451
84,2,2025-03-11,0-60min,33,8,235,0.6097560975609756
84,3,2025-03-12,0-60min,50,9,350,0.6949152542372882
84,4,2025-03-13,0-60min,48,14,237,0.5483870967741935
84,5,2025-03-14,0-60min,32,18,293,0.28
84,6,2025-03-17,0-60min,36,6,105,0.7142857142857143
84,7,2025-03-18,0-60min,36,28,127,0.125
84,8,2025-03-19,0-60min,60,15,232,0.6
84,9,2025-03-20,0-60min,36,4,451,0.8
84,10,2025-03-21,0-60min,50,11,373,0.639344262295082
