subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
88,1,2025-03-10,0-60min,9,2,58,0.6363636363636364
88,2,2025-03-11,0-60min,4,2,19,0.3333333333333333
88,3,2025-03-12,0-60min,2,0,28,1.0
88,4,2025-03-13,0-60min,3,0,221,1.0
88,5,2025-03-14,0-60min,12,28,56,-0.4
88,6,2025-03-17,0-60min,3,2,68,0.2
88,7,2025-03-18,0-60min,5,0,61,1.0
88,8,2025-03-19,0-60min,6,1,123,0.7142857142857143
88,9,2025-03-20,0-60min,7,2,51,0.5555555555555556
88,10,2025-03-21,0-60min,25,1,48,0.9230769230769231
