subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
89,1,2025-03-10,0-60min,4,3,59,0.14285714285714285
89,2,2025-03-11,0-60min,4,5,44,-0.1111111111111111
89,3,2025-03-12,0-60min,9,2,55,0.6363636363636364
89,4,2025-03-13,0-60min,8,3,88,0.45454545454545453
89,5,2025-03-14,0-60min,11,2,113,0.6923076923076923
89,6,2025-03-17,0-60min,5,3,175,0.25
89,7,2025-03-18,0-60min,5,12,112,-0.4117647058823529
89,8,2025-03-19,0-60min,8,4,99,0.3333333333333333
89,9,2025-03-20,0-60min,5,5,122,0.0
89,10,2025-03-21,0-60min,5,12,97,-0.4117647058823529
