phase,subject,mean_active_presses,std_active_presses,mean_inactive_presses,std_inactive_presses,mean_reinforcers,std_reinforcers,sample_size,sem_active_presses,sem_inactive_presses,sem_reinforcers
SelfAdmin,89,10.884615384615385,6.002179091476182,6.730769230769231,3.736925927097751,102.84615384615384,45.17405654372191,26,1.1771241658275258,0.7328714701200862,8.859361377868533
SelfAdmin,73,18.153846153846153,5.197632597191206,9.423076923076923,6.2748582576697425,76.65384615384616,38.734937519187824,26,1.0193396168293811,1.2306009500341093,7.596546241082154
SelfAdmin,90,17.703703703703702,8.934870386967502,10.222222222222221,6.715844258361274,268.81481481481484,134.06314156368978,27,1.7195166076967008,1.2924648301334947,25.80046362340107
SelfAdmin,0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0
SelfAdmin,94,6.038461538461538,2.288768563761207,11.884615384615385,6.326622625552582,133.15384615384616,61.4802031926976,26,0.44886444495062033,1.2407527778011629,12.057259837662096
SelfAdmin,88,11.884615384615385,7.533004304137483,4.6923076923076925,5.781136433395987,62.19230769230769,55.31583442796048,26,1.4773436901067487,1.1337741340241667,10.848327659955311
SelfAdmin,77,17.76923076923077,12.179680430315706,8.615384615384615,5.276945503428459,67.96153846153847,37.254240853068815,26,2.388631853211691,1.0348941574672084,7.306157733610901
SelfAdmin,76,21.384615384615383,9.932077015718002,15.0,10.796295661012621,75.92307692307692,42.35556452408404,26,1.9478405582174034,2.117327778846941,8.306609616059339
SelfAdmin,81,2.230769230769231,3.385943795253457,6.3076923076923075,6.354646997397924,39.88461538461539,28.100287433514872,26,0.6640382109202227,1.2462488092971467,5.510919767733017
SelfAdmin,85,19.26923076923077,9.11068687776149,13.192307692307692,5.803579797119917,101.61538461538461,42.71119471340217,26,1.7867526989207523,1.1381756397772043,8.376354434326872
SelfAdmin,84,24.96153846153846,5.98318155653508,11.038461538461538,4.485360803598918,264.5769230769231,106.49175482709376,26,1.1733984426977242,0.8796516255021192,20.884751380772684
SelfAdmin,82,9.038461538461538,5.751387792390767,9.384615384615385,5.177465967648058,113.57692307692308,45.502679549163325,26,1.1279399455246095,1.0153846153846153,8.923809651613198
SelfAdmin,86,4.884615384615385,3.374337541822668,4.038461538461538,3.671302430808655,122.73076923076923,66.64626482695496,26,0.6617620373539421,0.7200016436536137,13.070407879258301
SelfAdmin,87,13.884615384615385,9.262081507207428,25.076923076923077,11.88923236184095,70.42307692307692,27.363001409820633,26,1.8164436285283674,2.331670300564071,5.366326082274703
SelfAdmin,93,20.53846153846154,12.89722689334655,19.153846153846153,14.885408446374074,162.57692307692307,69.87083687887133,26,2.5293542923233736,2.919268774456164,13.702798487554743
SelfAdmin,79,21.23076923076923,13.063866785321082,18.73076923076923,13.343335991595781,446.38461538461536,487.5683399830696,26,2.5620350638972633,2.6168434845219934,95.62001845321974
SelfAdmin,95,13.923076923076923,6.7047629453878645,7.653846153846154,11.09573722721409,326.0769230769231,182.8680230279582,26,1.3149121958671752,2.176053101510098,35.8633699166036
SelfAdmin,83,4.884615384615385,3.745150710739669,3.8846153846153846,3.6147135220033477,83.34615384615384,65.20303202010919,26,0.734484482900287,0.7089036455670298,12.787366639075076
SelfAdmin,78,9.653846153846153,5.7127388016068625,5.115384615384615,3.9832340938179676,58.80769230769231,26.58423477291642,26,1.120360254825079,0.7811764758302265,5.213597379270488
SelfAdmin,80,27.423076923076923,12.2643322750913,10.5,6.2944419927424855,370.5,275.8426000457507,26,2.4052334458413975,1.2344416364681459,54.0971846274405
SelfAdmin,75,11.615384615384615,7.637156136033481,17.807692307692307,17.123128757955964,62.53846153846154,35.498992401735315,26,1.4977695448457538,3.358121833483817,6.961925191128092
SelfAdmin,91,16.85185185185185,8.12263553147671,14.0,9.438057166436485,169.59259259259258,154.03702333661397,27,1.563201936875766,1.8163549485563937,29.644438962854245
SelfAdmin,74,9.23076923076923,5.58073609702299,4.5,2.831960451701259,159.5,83.61925615550523,26,1.0944723945743025,0.5553931386518368,16.39908534034749
SelfAdmin,92,20.555555555555557,9.166550115809166,22.74074074074074,14.383731709529968,122.66666666666667,85.68816451798659,27,1.7641033923008722,2.7681504581494942,16.490694950274833
