subject,phase,session,session_date,time_segment,total_active_presses,total_inactive_presses,total_reinforcers
0,SelfAdmin,2025-03-10_13h20m_Subject 0.txt,2025-03-10,0-60min,0,0,0
0,SelfAdmin,2025-03-20_13h39m_Subject 0.txt,2025-03-20,0-60min,0,0,0
0,SelfAdmin,2025-03-28_12h09m_Subject 0.txt,2025-03-28,0-60min,0,0,0
0,SelfAdmin,2025-03-21_13h24m_Subject 0.txt,2025-03-21,0-60min,0,0,0
0,SelfAdmin,2025-04-03_12h22m_Subject 0.txt,2025-04-03,0-60min,0,0,0
0,SelfAdmin,2025-03-11_12h51m_Subject 0.txt,2025-03-11,0-60min,0,0,0
0,SelfAdmin,2025-04-01_11h41m_Subject 0.txt,2025-04-01,0-60min,0,0,0
0,SelfAdmin,2025-03-18_12h46m_Subject 0.txt,2025-03-18,0-60min,0,0,0
0,SelfAdmin,2025-03-14_12h54m_Subject 0.txt,2025-03-14,0-60min,0,0,0
0,SelfAdmin,2025-03-12_12h37m_Subject 0.txt,2025-03-12,0-60min,0,0,0
0,SelfAdmin,2025-03-25_12h17m_Subject 0.txt,2025-03-25,0-60min,0,0,0
0,SelfAdmin,2025-03-19_12h34m_Subject 0.txt,2025-03-19,0-60min,0,0,0
0,SelfAdmin,2025-04-08_12h48m_Subject 0.txt,2025-04-08,0-60min,0,0,0
0,SelfAdmin,2025-04-09_12h24m_Subject 0.txt,2025-04-09,0-60min,0,0,0
0,SelfAdmin,2025-03-24_12h45m_Subject 0.txt,2025-03-24,0-60min,0,0,0
0,SelfAdmin,2025-03-26_13h29m_Subject 0.txt,2025-03-26,0-60min,0,0,0
0,SelfAdmin,2025-04-11_13h11m_Subject 0.txt,2025-04-11,0-60min,0,0,0
0,SelfAdmin,2025-04-02_13h05m_Subject 0.txt,2025-04-02,0-60min,0,0,0
0,SelfAdmin,2025-03-17_13h17m_Subject 0.txt,2025-03-17,0-60min,0,0,0
0,SelfAdmin,2025-03-13_12h44m_Subject 0.txt,2025-03-13,0-60min,0,0,0
0,SelfAdmin,2025-04-07_12h35m_Subject 0.txt,2025-04-07,0-60min,0,0,0
0,SelfAdmin,2025-04-04_11h54m_Subject 0.txt,2025-04-04,0-60min,0,0,0
0,SelfAdmin,2025-03-31_12h55m_Subject 0.txt,2025-03-31,0-60min,0,0,0
0,SelfAdmin,2025-04-10_13h07m_Subject 0.txt,2025-04-10,0-60min,0,0,0
