subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
69,1,2025-03-03,0-180min,68,22,509,0.5111111111111111
69,2,2025-03-04,0-180min,50,39,500,0.12359550561797752
69,3,2025-03-05,0-180min,23,28,328,-0.09803921568627451
69,4,2025-03-06,0-180min,19,34,506,-0.2830188679245283
69,5,2025-03-07,0-180min,6,8,573,-0.14285714285714285
69,6,2025-03-10,0-180min,10,8,450,0.1111111111111111
69,7,2025-03-11,0-180min,7,30,327,-0.6216216216216216
69,8,2025-03-12,0-180min,70,54,181,0.12903225806451613
69,9,2025-03-13,0-180min,48,23,181,0.352112676056338
69,10,2025-03-14,0-180min,44,34,264,0.1282051282051282
69,11,2025-03-17,0-180min,51,35,315,0.18604651162790697
69,12,2025-03-18,0-180min,51,111,391,-0.37037037037037035
69,13,2025-03-19,0-180min,32,47,324,-0.189873417721519
69,14,2025-03-20,0-180min,54,52,569,0.018867924528301886
69,15,2025-03-21,0-180min,80,30,553,0.45454545454545453
