subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
64,1,2025-03-03,0-180min,50,14,185,0.5625
64,2,2025-03-04,0-180min,38,86,144,-0.3870967741935484
64,3,2025-03-05,0-180min,25,27,156,-0.038461538461538464
64,4,2025-03-06,0-180min,28,12,125,0.4
64,5,2025-03-07,0-180min,9,4,52,0.38461538461538464
64,6,2025-03-10,0-180min,10,3,283,0.5384615384615384
64,7,2025-03-11,0-180min,13,6,85,0.3684210526315789
64,8,2025-03-12,0-180min,8,5,49,0.23076923076923078
64,9,2025-03-13,0-180min,9,2,58,0.6363636363636364
64,10,2025-03-14,0-180min,13,7,159,0.3
64,11,2025-03-17,0-180min,44,14,122,0.5172413793103449
64,12,2025-03-18,0-180min,30,29,241,0.01694915254237288
64,13,2025-03-19,0-180min,34,24,504,0.1724137931034483
64,14,2025-03-20,0-180min,46,39,600,0.08235294117647059
64,15,2025-03-21,0-180min,26,23,434,0.061224489795918366
