date,session_number,n_subjects,time_window,active_mean,active_sem,inactive_mean,inactive_sem,reinforcers_mean,reinforcers_sem,di_mean,di_sem,subjects
2025-03-03,1,11,0-180min,135.1818181818182,28.649439491385316,56.09090909090909,9.625598228015887,906.2727272727273,220.68694745126382,0.3772618897347701,0.08235702235569463,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-04,2,11,0-180min,92.63636363636364,18.026276838247437,72.0909090909091,8.909512555378958,1008.0,247.79223501864863,0.07345457438580816,0.07721162355014156,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-05,3,11,0-180min,107.45454545454545,28.53803135569977,57.09090909090909,10.589605495624834,1076.6363636363637,247.64731896496164,0.1879845405865207,0.09465108607321226,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-06,4,11,0-180min,122.72727272727273,33.91337796665116,48.63636363636363,8.030183480580042,1216.7272727272727,307.6103065181388,0.28868997758665443,0.1123929367484061,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-07,5,11,0-180min,137.63636363636363,50.483001431260405,49.54545454545455,9.19608579720098,1201.8181818181818,360.8011704499399,0.28450462324340137,0.10448502814838172,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-10,6,11,0-180min,82.63636363636364,25.14495915086606,36.81818181818182,9.81466113797074,875.2727272727273,301.26441780687264,0.3183071133620575,0.11171113114036922,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-11,7,11,0-180min,80.0909090909091,28.441459246267584,42.72727272727273,8.007321968607274,832.4545454545455,300.11921498064913,0.10870137472362075,0.1311660039621008,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-12,8,11,0-180min,173.8181818181818,59.347946998380785,51.45454545454545,11.200179777455931,728.4545454545455,269.34304415003186,0.3832724520455073,0.09178230746932425,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-13,9,11,0-180min,84.27272727272727,23.812313957657107,49.09090909090909,12.802669237088413,847.6363636363636,370.3266655516891,0.30523463432729564,0.11443422029022944,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-14,10,11,0-180min,119.36363636363636,48.41628588908657,50.18181818181818,10.933924901381975,903.5454545454545,289.2318513956547,0.2326496425579301,0.13582830548819158,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-17,11,11,0-180min,97.0909090909091,34.61391650228774,46.45454545454545,8.928886760558118,527.0,138.1431165898505,0.23318974107393264,0.11287697588900783,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-18,12,11,0-180min,101.0909090909091,37.14088757255182,55.36363636363637,9.456531895579436,583.1818181818181,124.97972187134326,0.10404306354875885,0.1123841834844446,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-19,13,11,0-180min,108.27272727272727,46.13599926575164,43.72727272727273,10.168896759594316,531.9090909090909,120.2083903058554,0.24034651558787126,0.11129220906614741,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-20,14,11,0-180min,132.54545454545453,47.42673577969239,65.72727272727273,11.492067626501383,698.9090909090909,133.0399464366201,0.07596369830280196,0.12599821993666432,"58,60,62,64,66,67,68,69,70,71,72"
2025-03-21,15,11,0-180min,105.0909090909091,27.26528824164665,53.45454545454545,9.679460776904381,620.6363636363636,132.65454250942435,0.16580721688061684,0.1193289005807736,"58,60,62,64,66,67,68,69,70,71,72"
