subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
68,1,2025-03-03,0-180min,382,60,1584,0.7285067873303167
68,2,2025-03-04,0-180min,231,64,2158,0.5661016949152542
68,3,2025-03-05,0-180min,353,58,2037,0.7177615571776156
68,4,2025-03-06,0-180min,401,35,2412,0.8394495412844036
68,5,2025-03-07,0-180min,628,42,2437,0.8746268656716418
68,6,2025-03-10,0-180min,290,38,2255,0.7682926829268293
68,7,2025-03-11,0-180min,345,49,1884,0.751269035532995
68,8,2025-03-12,0-180min,747,44,1455,0.888748419721871
68,9,2025-03-13,0-180min,245,63,1183,0.5909090909090909
68,10,2025-03-14,0-180min,578,52,2005,0.834920634920635
68,11,2025-03-17,0-180min,412,54,956,0.7682403433476395
68,12,2025-03-18,0-180min,454,43,856,0.8269617706237424
68,13,2025-03-19,0-180min,556,56,1467,0.8169934640522876
68,14,2025-03-20,0-180min,558,59,822,0.8087520259319287
68,15,2025-03-21,0-180min,269,53,1600,0.6708074534161491
