subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
93,1,2025-03-10,0-180min,34,6,474,0.7
93,2,2025-03-11,0-180min,24,2,504,0.8461538461538461
93,3,2025-03-12,0-180min,25,8,490,0.5151515151515151
93,4,2025-03-13,0-180min,37,13,429,0.48
93,5,2025-03-14,0-180min,23,5,500,0.6428571428571429
93,6,2025-03-17,0-180min,22,7,392,0.5172413793103449
93,7,2025-03-18,0-180min,31,9,339,0.55
93,8,2025-03-19,0-180min,24,5,494,0.6551724137931034
93,9,2025-03-20,0-180min,33,9,436,0.5714285714285714
93,10,2025-03-21,0-180min,31,6,519,0.6756756756756757
