subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
66,1,2025-02-17,0-60min,7,2,108,0.5555555555555556
66,2,2025-02-18,0-60min,15,17,161,-0.0625
66,3,2025-02-19,0-60min,35,8,147,0.627906976744186
66,4,2025-02-20,0-60min,137,26,86,0.6809815950920245
66,5,2025-02-21,0-60min,33,11,48,0.5
66,6,2025-02-24,0-60min,57,17,140,0.5405405405405406
66,7,2025-02-25,0-60min,15,11,84,0.15384615384615385
66,8,2025-02-26,0-60min,0,20,50,-1.0
66,9,2025-02-27,0-60min,18,4,44,0.6363636363636364
66,10,2025-02-28,0-60min,29,5,87,0.7058823529411765
