subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
74,1,2025-03-10,0-180min,29,9,366,0.5263157894736842
74,2,2025-03-11,0-180min,33,4,250,0.7837837837837838
74,3,2025-03-12,0-180min,37,3,324,0.85
74,4,2025-03-13,0-180min,19,2,217,0.8095238095238095
74,5,2025-03-14,0-180min,33,6,154,0.6923076923076923
74,6,2025-03-17,0-180min,21,8,293,0.4482758620689655
74,7,2025-03-18,0-180min,42,5,723,0.7872340425531915
74,8,2025-03-19,0-180min,29,2,820,0.8709677419354839
74,9,2025-03-20,0-180min,37,8,570,0.6444444444444445
74,10,2025-03-21,0-180min,72,12,310,0.7142857142857143
