subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
75,1,2025-03-10,0-180min,28,4,288,0.75
75,2,2025-03-11,0-180min,32,6,278,0.6842105263157895
75,3,2025-03-12,0-180min,17,1,283,0.8888888888888888
75,4,2025-03-13,0-180min,9,3,272,0.5
75,5,2025-03-14,0-180min,85,37,244,0.39344262295081966
75,6,2025-03-17,0-180min,65,61,132,0.031746031746031744
75,7,2025-03-18,0-180min,62,29,169,0.3626373626373626
75,8,2025-03-19,0-180min,70,43,193,0.23893805309734514
75,9,2025-03-20,0-180min,108,51,156,0.3584905660377358
75,10,2025-03-21,0-180min,26,176,97,-0.7425742574257426
