subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
87,1,2025-03-24,0-30min,22,16,29,0.15789473684210525
87,2,2025-03-25,0-30min,6,15,25,-0.42857142857142855
87,3,2025-03-26,0-30min,9,32,25,-0.5609756097560976
87,4,2025-03-27,0-30min,7,23,64,-0.5333333333333333
87,5,2025-03-28,0-30min,2,20,49,-0.8181818181818182
87,6,2025-03-31,0-30min,14,22,87,-0.2222222222222222
87,7,2025-04-01,0-30min,6,20,34,-0.5384615384615384
87,8,2025-04-02,0-30min,3,9,39,-0.5
87,9,2025-04-03,0-30min,5,14,46,-0.47368421052631576
87,10,2025-04-04,0-30min,4,8,29,-0.3333333333333333
87,11,2025-04-07,0-30min,0,23,28,-1.0
87,12,2025-04-08,0-30min,5,8,15,-0.23076923076923078
87,13,2025-04-09,0-30min,2,17,27,-0.7894736842105263
87,14,2025-04-10,0-30min,6,8,20,-0.14285714285714285
87,15,2025-04-11,0-30min,3,20,33,-0.7391304347826086
