subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
89,1,2025-03-24,0-30min,17,11,73,0.21428571428571427
89,2,2025-03-25,0-30min,18,8,64,0.38461538461538464
89,3,2025-03-26,0-30min,10,5,84,0.3333333333333333
89,4,2025-03-27,0-30min,9,5,59,0.2857142857142857
89,5,2025-03-28,0-30min,5,5,49,0.0
89,6,2025-03-31,0-30min,6,2,71,0.5
89,7,2025-04-01,0-30min,9,3,48,0.5
89,8,2025-04-02,0-30min,5,6,97,-0.09090909090909091
89,9,2025-04-03,0-30min,8,3,116,0.45454545454545453
89,10,2025-04-04,0-30min,7,2,45,0.5555555555555556
89,11,2025-04-07,0-30min,11,9,59,0.1
89,12,2025-04-08,0-30min,9,6,50,0.2
89,13,2025-04-09,0-30min,10,4,43,0.42857142857142855
89,14,2025-04-10,0-30min,8,4,26,0.3333333333333333
89,15,2025-04-11,0-30min,4,5,50,-0.1111111111111111
