subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
91,1,2025-03-24,0-30min,25,14,46,0.28205128205128205
91,2,2025-03-25,0-30min,13,12,97,0.04
91,3,2025-03-26,0-30min,14,7,89,0.3333333333333333
91,4,2025-03-27,0-30min,13,10,175,0.13043478260869565
91,5,2025-03-28,0-30min,11,7,161,0.2222222222222222
91,6,2025-03-31,0-30min,9,5,74,0.2857142857142857
91,7,2025-04-01,0-30min,15,9,43,0.25
91,8,2025-04-02,0-30min,15,9,72,0.25
91,9,2025-04-03,0-30min,6,6,43,0.0
91,10,2025-04-04,0-30min,13,15,58,-0.07142857142857142
91,11,2025-04-07,0-30min,10,7,15,0.17647058823529413
91,12,2025-04-08,0-30min,13,11,34,0.08333333333333333
91,13,2025-04-09,0-30min,10,8,39,0.1111111111111111
91,14,2025-04-10,0-30min,12,7,27,0.2631578947368421
91,15,2025-04-11,0-30min,12,21,26,-0.2727272727272727
