subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
95,1,2025-03-24,0-30min,20,17,88,0.08108108108108109
95,2,2025-03-25,0-30min,22,17,101,0.1282051282051282
95,3,2025-03-26,0-30min,22,14,151,0.2222222222222222
95,4,2025-03-27,0-30min,7,7,54,0.0
95,5,2025-03-28,0-30min,9,3,76,0.5
95,6,2025-03-31,0-30min,8,4,96,0.3333333333333333
95,7,2025-04-01,0-30min,5,2,91,0.42857142857142855
95,8,2025-04-02,0-30min,3,2,124,0.2
95,9,2025-04-03,0-30min,9,2,129,0.6363636363636364
95,10,2025-04-04,0-30min,12,0,190,1.0
95,11,2025-04-07,0-30min,10,3,123,0.5384615384615384
95,12,2025-04-08,0-30min,8,2,96,0.6
95,13,2025-04-09,0-30min,4,1,96,0.6
95,14,2025-04-10,0-30min,9,4,149,0.38461538461538464
95,15,2025-04-11,0-30min,10,3,168,0.5384615384615384
