subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
88,1,2025-03-24,0-30min,24,6,193,0.6
88,2,2025-03-25,0-30min,13,2,115,0.7333333333333333
88,3,2025-03-26,0-30min,8,3,94,0.45454545454545453
88,4,2025-03-27,0-30min,12,2,46,0.7142857142857143
88,5,2025-03-28,0-30min,12,7,75,0.2631578947368421
88,6,2025-03-31,0-30min,10,2,40,0.6666666666666666
88,7,2025-04-01,0-30min,13,2,45,0.7333333333333333
88,8,2025-04-02,0-30min,12,5,41,0.4117647058823529
88,9,2025-04-03,0-30min,17,8,24,0.36
88,10,2025-04-04,0-30min,8,2,20,0.6
88,11,2025-04-07,0-30min,8,4,5,0.3333333333333333
88,12,2025-04-08,0-30min,10,3,6,0.5384615384615384
88,13,2025-04-09,0-30min,14,10,13,0.16666666666666666
88,14,2025-04-10,0-30min,17,3,12,0.7
88,15,2025-04-11,0-30min,13,5,13,0.4444444444444444
