subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
95,1,2025-03-24,60-120min,116,41,535,0.47770700636942676
95,2,2025-03-25,60-120min,122,13,557,0.8074074074074075
95,3,2025-03-26,60-120min,84,19,863,0.6310679611650486
95,4,2025-03-27,60-120min,47,14,353,0.5409836065573771
95,5,2025-03-28,60-120min,20,6,270,0.5384615384615384
95,6,2025-03-31,60-120min,11,9,342,0.1
95,7,2025-04-01,60-120min,17,7,320,0.4166666666666667
95,8,2025-04-02,60-120min,19,4,645,0.6521739130434783
95,9,2025-04-03,60-120min,27,3,216,0.8
95,10,2025-04-04,60-120min,36,5,112,0.7560975609756098
95,11,2025-04-07,60-120min,10,1,171,0.8181818181818182
95,12,2025-04-08,60-120min,28,2,164,0.8666666666666667
95,13,2025-04-09,60-120min,24,3,129,0.7777777777777778
95,14,2025-04-10,60-120min,23,6,150,0.5862068965517241
95,15,2025-04-11,60-120min,15,5,127,0.5
