subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
84,1,2025-03-24,60-120min,30,10,213,0.5
84,2,2025-03-25,60-120min,33,6,206,0.6923076923076923
84,3,2025-03-26,60-120min,36,5,403,0.7560975609756098
84,4,2025-03-27,60-120min,22,2,775,0.8333333333333334
84,5,2025-03-28,60-120min,32,9,206,0.5609756097560976
84,6,2025-03-31,60-120min,33,11,110,0.5
84,7,2025-04-01,60-120min,35,18,104,0.32075471698113206
84,8,2025-04-02,60-120min,30,9,239,0.5384615384615384
84,9,2025-04-03,60-120min,40,8,100,0.6666666666666666
84,10,2025-04-04,60-120min,56,2,114,0.9310344827586207
84,11,2025-04-07,60-120min,27,6,50,0.6363636363636364
84,12,2025-04-08,60-120min,41,16,48,0.43859649122807015
84,13,2025-04-09,60-120min,37,10,67,0.574468085106383
84,14,2025-04-10,60-120min,20,6,54,0.5384615384615384
84,15,2025-04-11,60-120min,17,5,30,0.5454545454545454
