subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
82,1,2025-03-24,60-120min,15,9,120,0.25
82,2,2025-03-25,60-120min,0,4,4,-1.0
82,3,2025-03-26,60-120min,0,0,0,0.0
82,4,2025-03-27,60-120min,0,0,11,0.0
82,5,2025-03-28,60-120min,6,9,24,-0.2
82,6,2025-03-31,60-120min,0,0,1,0.0
82,7,2025-04-01,60-120min,0,3,16,-1.0
82,8,2025-04-02,60-120min,0,0,0,0.0
82,9,2025-04-03,60-120min,4,2,16,0.3333333333333333
82,10,2025-04-04,60-120min,10,2,28,0.6666666666666666
82,11,2025-04-07,60-120min,0,0,2,0.0
82,12,2025-04-08,60-120min,3,3,8,0.0
82,13,2025-04-09,60-120min,1,0,6,1.0
82,14,2025-04-10,60-120min,0,0,6,0.0
82,15,2025-04-11,60-120min,0,0,1,0.0
