subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
82,1,2025-03-24,0-180min,46,45,417,0.01098901098901099
82,2,2025-03-25,0-180min,14,11,174,0.12
82,3,2025-03-26,0-180min,9,9,99,0.0
82,4,2025-03-27,0-180min,8,8,144,0.0
82,5,2025-03-28,0-180min,37,23,117,0.23333333333333334
82,6,2025-03-31,0-180min,21,12,119,0.2727272727272727
82,7,2025-04-01,0-180min,16,9,110,0.28
82,8,2025-04-02,0-180min,17,8,72,0.36
82,9,2025-04-03,0-180min,13,7,109,0.3
82,10,2025-04-04,0-180min,26,6,136,0.625
82,11,2025-04-07,0-180min,13,1,131,0.8571428571428571
82,12,2025-04-08,0-180min,9,9,83,0.0
82,13,2025-04-09,0-180min,7,4,112,0.2727272727272727
82,14,2025-04-10,0-180min,4,7,117,-0.2727272727272727
82,15,2025-04-11,0-180min,9,9,97,0.0
