date,session_number,n_subjects,time_window,active_mean,active_sem,inactive_mean,inactive_sem,reinforcers_mean,reinforcers_sem,di_mean,di_sem,subjects
2025-03-24,1,10,0-180min,121.4,23.22291971307656,57.2,12.464188702037529,971.8,334.68566745530046,0.32275022662586245,0.08257579454638844,"79,80,82,84,90,91,92,93,94,95"
2025-03-25,2,10,0-180min,107.6,20.23768761494257,47.7,8.662620850527857,808.5,188.96577732489024,0.3611636733232915,0.05068790639538332,"79,80,82,84,90,91,92,93,94,95"
2025-03-26,3,10,0-180min,107.9,16.157010862161354,46.2,7.802307351034051,819.6,201.92326265192924,0.359524126278598,0.060644472917878396,"79,80,82,84,90,91,92,93,94,95"
2025-03-27,4,10,0-180min,97.0,15.556349186104045,54.8,12.681324851923003,613.0,143.97576184900012,0.26958174564116966,0.07069637418980713,"79,80,82,84,90,91,92,93,94,95"
2025-03-28,5,10,0-180min,99.4,16.179122349497206,54.0,10.939835464941874,540.7,90.81531258548857,0.31988899662201387,0.05981001548460876,"79,80,82,84,90,91,92,93,94,95"
2025-03-31,6,10,0-180min,86.7,17.44307885666977,52.6,11.601896396710325,516.1,81.72092143386539,0.23745941391823622,0.0732211020375396,"79,80,82,84,90,91,92,93,94,95"
2025-04-01,7,10,0-180min,84.5,14.524634246685869,55.3,12.754646212263198,448.7,123.36896287154237,0.23352474394566358,0.0691327777794556,"79,80,82,84,90,91,92,93,94,95"
2025-04-02,8,10,0-180min,97.0,17.384475833340503,63.5,20.406984098587422,519.8,128.64702095268277,0.28496731144099563,0.08791974521911021,"79,80,82,84,90,91,92,93,94,95"
2025-04-03,9,10,0-180min,78.0,12.715345060201864,58.6,15.37543495319726,465.4,96.4847345438645,0.20861848594037355,0.08985315774409142,"79,80,82,84,90,91,92,93,94,95"
2025-04-04,10,10,0-180min,77.0,10.356640381899911,55.0,14.866741404894348,350.4,57.98313547920636,0.26545081186974273,0.1229546096659665,"79,80,82,84,90,91,92,93,94,95"
2025-04-07,11,10,0-180min,85.0,13.989281611290838,48.2,13.947616283795593,372.8,67.96746280390346,0.3820379436387261,0.10847026742144249,"79,80,82,84,90,91,92,93,94,95"
2025-04-08,12,10,0-180min,89.5,13.741360922412305,59.4,16.604939024278288,345.8,46.960579212782285,0.2568059727644454,0.08014753691628396,"79,80,82,84,90,91,92,93,94,95"
2025-04-09,13,10,0-180min,81.5,12.538939349083718,43.9,13.234387027739515,386.3,70.01372008399495,0.3524526891317291,0.09260218823437122,"79,80,82,84,90,91,92,93,94,95"
2025-04-10,14,10,0-180min,69.6,12.07990066184321,56.3,16.556599892490002,327.1,60.004908132585285,0.14263562416608713,0.08230195648920659,"79,80,82,84,90,91,92,93,94,95"
2025-04-11,15,10,0-180min,74.5,15.533994978755464,59.7,17.440785532767727,365.6,58.595938425798764,0.18290896569467036,0.0825363137606986,"79,80,82,84,90,91,92,93,94,95"
