subject,phase,group,bin_start_min,bin_end_min,active_lever_presses,inactive_lever_presses,session_time
92,SelfAdmin,One,30,60,16,21,30-60 min
92,SelfAdmin,One,60,90,15,36,60-90 min
92,SelfAdmin,One,90,120,14,24,90-120 min
92,SelfAdmin,One,120,150,13,24,120-150 min
92,SelfAdmin,One,150,180,17,41,150-180 min
93,SelfAdmin,One,0,30,10,25,0-30 min
93,SelfAdmin,One,30,60,14,21,30-60 min
93,SelfAdmin,One,60,90,22,27,60-90 min
93,SelfAdmin,One,90,120,18,18,90-120 min
93,SelfAdmin,One,120,150,13,21,120-150 min
93,SelfAdmin,One,150,180,16,26,150-180 min
94,SelfAdmin,One,0,30,1,3,0-30 min
94,SelfAdmin,One,30,60,4,2,30-60 min
94,SelfAdmin,One,60,90,3,4,60-90 min
94,SelfAdmin,One,90,120,1,3,90-120 min
94,SelfAdmin,One,120,150,5,5,120-150 min
94,SelfAdmin,One,150,180,4,8,150-180 min
95,SelfAdmin,One,0,30,4,3,0-30 min
95,SelfAdmin,One,30,60,8,1,30-60 min
95,SelfAdmin,One,60,90,6,3,60-90 min
95,SelfAdmin,One,90,120,5,1,90-120 min
95,SelfAdmin,One,120,150,7,2,120-150 min
95,SelfAdmin,One,150,180,8,0,150-180 min
