subject,phase,group,filename,time_seconds,time_minutes,response_code,response_type
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,0.0,0.0,19.0,other_19
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,0.0,0.0,11.0,other_11
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,0.0,0.0,26.0,other_26
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,0.0,0.0,27.0,other_27
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,7.81,0.13016666666666665,1.0,inactive_lever
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,50.72,0.8453333333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,169.62,2.827,2.0,active_lever
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,169.62,2.827,4.0,other_4
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,169.62,2.827,22.0,other_22
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,169.63,2.8271666666666664,24.0,other_24
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,169.63,2.8271666666666664,12.0,other_12
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,179.62,2.993666666666667,19.0,other_19
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,179.63,2.9938333333333333,11.0,other_11
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,181.63,3.0271666666666666,2.0,active_lever
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,181.63,3.0271666666666666,4.0,other_4
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,181.63,3.0271666666666666,22.0,other_22
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,181.64,3.027333333333333,24.0,other_24
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,181.64,3.027333333333333,12.0,other_12
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,186.4,3.106666666666667,20.0,other_20
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,191.63,3.193833333333333,19.0,other_19
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,191.64,3.194,11.0,other_11
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,255.01,4.250166666666667,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,288.06,4.801,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,294.73,4.912166666666667,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,295.06,4.917666666666666,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,295.84,4.930666666666666,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,296.33,4.938833333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,299.67,4.9945,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,306.3,5.105,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,306.64,5.110666666666666,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,311.82,5.197,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,311.88,5.1979999999999995,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,315.75,5.2625,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,318.76,5.312666666666667,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,364.88,6.081333333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,634.23,10.570500000000001,2.0,active_lever
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,634.23,10.570500000000001,4.0,other_4
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,634.23,10.570500000000001,22.0,other_22
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,634.24,10.570666666666666,24.0,other_24
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,634.24,10.570666666666666,12.0,other_12
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,644.23,10.737166666666667,19.0,other_19
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,644.24,10.737333333333334,11.0,other_11
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,650.33,10.838833333333334,2.0,active_lever
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,650.33,10.838833333333334,4.0,other_4
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,650.33,10.838833333333334,22.0,other_22
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,650.34,10.839,24.0,other_24
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,650.34,10.839,12.0,other_12
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,650.67,10.8445,21.0,other_21
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,650.67,10.8445,22.0,other_22
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,660.33,11.005500000000001,19.0,other_19
73,SelfAdmin,One,2025-04-11_09h49m_Subject 73.txt,660.34,11.005666666666666,11.0,other_11
