subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
78,1,2025-03-24,0-30min,9,2,32,0.6363636363636364
78,2,2025-03-25,0-30min,9,7,20,0.125
78,3,2025-03-26,0-30min,6,6,27,0.0
78,4,2025-03-27,0-30min,11,1,32,0.8333333333333334
78,5,2025-03-28,0-30min,5,0,20,1.0
78,6,2025-03-31,0-30min,10,11,49,-0.047619047619047616
78,7,2025-04-01,0-30min,7,3,60,0.4
78,8,2025-04-02,0-30min,0,0,16,0.0
78,9,2025-04-03,0-30min,5,2,26,0.42857142857142855
78,10,2025-04-04,0-30min,6,4,16,0.2
78,11,2025-04-07,0-30min,2,1,32,0.3333333333333333
78,12,2025-04-08,0-30min,3,0,80,1.0
78,13,2025-04-09,0-30min,0,2,56,-1.0
78,14,2025-04-10,0-30min,3,2,49,0.2
78,15,2025-04-11,0-30min,0,0,50,0.0
