subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
91,1,2025-03-24,0-180min,236,129,412,0.29315068493150687
91,2,2025-03-25,0-180min,82,48,344,0.26153846153846155
91,3,2025-03-26,0-180min,113,54,665,0.3532934131736527
91,4,2025-03-27,0-180min,85,64,422,0.14093959731543623
91,5,2025-03-28,0-180min,72,72,361,0.0
91,6,2025-03-31,0-180min,67,52,499,0.12605042016806722
91,7,2025-04-01,0-180min,71,45,159,0.22413793103448276
91,8,2025-04-02,0-180min,60,45,205,0.14285714285714285
91,9,2025-04-03,0-180min,60,74,173,-0.1044776119402985
91,10,2025-04-04,0-180min,57,98,102,-0.2645161290322581
91,11,2025-04-07,0-180min,41,47,52,-0.06818181818181818
91,12,2025-04-08,0-180min,88,96,130,-0.043478260869565216
91,13,2025-04-09,0-180min,56,59,126,-0.02608695652173913
91,14,2025-04-10,0-180min,54,45,119,0.09090909090909091
91,15,2025-04-11,0-180min,57,95,115,-0.25
