subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
86,1,2025-03-24,0-180min,51,23,665,0.3783783783783784
86,2,2025-03-25,0-180min,24,11,542,0.37142857142857144
86,3,2025-03-26,0-180min,47,16,759,0.49206349206349204
86,4,2025-03-27,0-180min,25,9,548,0.47058823529411764
86,5,2025-03-28,0-180min,15,24,413,-0.23076923076923078
86,6,2025-03-31,0-180min,15,22,413,-0.1891891891891892
86,7,2025-04-01,0-180min,15,18,223,-0.09090909090909091
86,8,2025-04-02,0-180min,16,34,328,-0.36
86,9,2025-04-03,0-180min,34,14,238,0.4166666666666667
86,10,2025-04-04,0-180min,21,22,202,-0.023255813953488372
86,11,2025-04-07,0-180min,19,18,256,0.02702702702702703
86,12,2025-04-08,0-180min,50,34,242,0.19047619047619047
86,13,2025-04-09,0-180min,41,44,243,-0.03529411764705882
86,14,2025-04-10,0-180min,57,57,267,0.0
86,15,2025-04-11,0-180min,44,40,286,0.047619047619047616
