date,session_number,n_subjects,time_window,active_mean,active_sem,inactive_mean,inactive_sem,reinforcers_mean,reinforcers_sem,di_mean,di_sem,subjects
2025-03-24,1,21,0-180min,89.42857142857143,13.577955227381866,45.857142857142854,7.605728153507719,615.4761904761905,177.58416124966374,0.321727193918436,0.06402577525484882,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-25,2,21,0-180min,74.85714285714286,12.47678764733778,37.714285714285715,5.83489497352967,512.6190476190476,113.5958239984586,0.2850422169180385,0.0679153018267201,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-26,3,21,0-180min,78.95238095238095,10.256456666810847,42.38095238095238,6.376855895601743,518.8571428571429,118.36800844290879,0.28855493527958176,0.0596524207001499,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-27,4,21,0-180min,74.52380952380952,9.988569214616698,39.57142857142857,7.976317391618967,422.1904761904762,84.30735850819107,0.3085921145274788,0.08101358272775784,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-28,5,21,0-180min,70.85714285714286,10.852815702920966,39.76190476190476,6.580361341354138,378.1904761904762,59.872791038934565,0.25438841337168266,0.07378378858557862,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-03-31,6,21,0-180min,63.523809523809526,10.135056031427608,44.714285714285715,7.887572491307863,383.7142857142857,52.49144808253151,0.18530031564539268,0.0627853412747338,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-04-01,7,21,0-180min,67.14285714285714,9.461051730015562,40.285714285714285,7.94600338998567,326.85714285714283,69.93454295284964,0.2854673407787751,0.07857642485552577,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-04-02,8,21,0-180min,72.33333333333333,11.103171766681056,46.666666666666664,11.144145902951633,374.1904761904762,76.17617779665783,0.24972156316137908,0.0786206955714328,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-04-03,9,21,0-180min,66.0,8.26269380066437,41.80952380952381,8.978588551111716,324.4761904761905,58.343482850663484,0.2893052518670347,0.07701102517404905,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-04-04,10,21,0-180min,66.85714285714286,7.73697009088421,40.0,8.898775680776545,266.85714285714283,42.665193730649555,0.3522962806371063,0.09495046943806122,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-04-07,11,21,0-180min,65.19047619047619,9.916801073260318,35.23809523809524,7.821681814238943,283.5238095238095,48.813292260917486,0.27749739934127976,0.09795583737950227,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-04-08,12,21,0-180min,68.19047619047619,9.661532544079803,40.57142857142857,9.199864789643176,262.76190476190476,39.025016963911526,0.240325085069798,0.08223649950250711,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-04-09,13,21,0-180min,69.66666666666667,8.806906518110958,38.95238095238095,8.06674992661709,274.57142857142856,45.99337285538903,0.2954405776139821,0.08136109194637169,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-04-10,14,21,0-180min,61.0,7.556589231678968,46.523809523809526,10.55589142390989,240.8095238095238,38.27497000670471,0.19558128011087655,0.08684406084322102,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
2025-04-11,15,21,0-180min,65.66666666666667,10.061113333608553,44.095238095238095,10.177763490497425,276.2857142857143,43.15384821927434,0.20249002120576773,0.08897961426908102,"73,74,75,76,77,78,79,80,82,84,85,86,87,88,89,90,91,92,93,94,95"
