subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
93,1,2025-03-24,0-180min,34,27,114,0.11475409836065574
93,2,2025-03-25,0-180min,136,95,418,0.1774891774891775
93,3,2025-03-26,0-180min,161,86,508,0.30364372469635625
93,4,2025-03-27,0-180min,165,118,319,0.16607773851590105
93,5,2025-03-28,0-180min,163,113,370,0.18115942028985507
93,6,2025-03-31,0-180min,128,124,463,0.015873015873015872
93,7,2025-04-01,0-180min,116,125,278,-0.03734439834024896
93,8,2025-04-02,0-180min,160,125,301,0.12280701754385964
93,9,2025-04-03,0-180min,128,126,354,0.007874015748031496
93,10,2025-04-04,0-180min,101,102,327,-0.0049261083743842365
93,11,2025-04-07,0-180min,140,79,178,0.2785388127853881
93,12,2025-04-08,0-180min,135,86,305,0.22171945701357465
93,13,2025-04-09,0-180min,111,71,227,0.21978021978021978
93,14,2025-04-10,0-180min,126,147,190,-0.07692307692307693
93,15,2025-04-11,0-180min,140,154,179,-0.047619047619047616
