subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
85,1,2025-03-24,0-180min,106,46,331,0.39473684210526316
85,2,2025-03-25,0-180min,82,55,205,0.19708029197080293
85,3,2025-03-26,0-180min,79,44,283,0.2845528455284553
85,4,2025-03-27,0-180min,85,25,251,0.5454545454545454
85,5,2025-03-28,0-180min,67,35,282,0.3137254901960784
85,6,2025-03-31,0-180min,86,48,373,0.2835820895522388
85,7,2025-04-01,0-180min,85,54,666,0.22302158273381295
85,8,2025-04-02,0-180min,82,44,719,0.30158730158730157
85,9,2025-04-03,0-180min,60,31,411,0.31868131868131866
85,10,2025-04-04,0-180min,88,24,224,0.5714285714285714
85,11,2025-04-07,0-180min,70,53,371,0.13821138211382114
85,12,2025-04-08,0-180min,60,51,252,0.08108108108108109
85,13,2025-04-09,0-180min,65,73,196,-0.057971014492753624
85,14,2025-04-10,0-180min,55,53,302,0.018518518518518517
85,15,2025-04-11,0-180min,79,77,273,0.01282051282051282
