date,session_number,n_subjects,time_window,active_mean,active_sem,inactive_mean,inactive_sem,reinforcers_mean,reinforcers_sem,di_mean,di_sem,subjects
2025-03-24,1,10,120-180min,33.3,6.870298392355314,15.6,3.7341665736814686,342.1,128.68600934056508,0.360630287488917,0.09336517189412083,"79,80,82,84,90,91,92,93,94,95"
2025-03-25,2,10,120-180min,32.1,6.898478093028925,15.9,4.746472374300729,328.8,89.59930803304232,0.30045656912443247,0.08998483319152094,"79,80,82,84,90,91,92,93,94,95"
2025-03-26,3,10,120-180min,35.5,5.077893263943227,13.5,2.1272047386182646,359.7,97.69575732855546,0.39101973548273355,0.07683913210247731,"79,80,82,84,90,91,92,93,94,95"
2025-03-27,4,10,120-180min,30.7,5.7983618376227595,19.8,5.394070818964097,232.5,73.24865186472718,0.22254073327019067,0.08184983468513046,"79,80,82,84,90,91,92,93,94,95"
2025-03-28,5,10,120-180min,29.8,6.675028089828537,16.8,4.197141884663896,240.3,56.10009803913002,0.3946759475583358,0.1060691178527451,"79,80,82,84,90,91,92,93,94,95"
2025-03-31,6,10,120-180min,27.6,5.083699440368205,17.9,3.848246353860418,202.2,48.80528659889213,0.23635371469770564,0.08009336439540793,"79,80,82,84,90,91,92,93,94,95"
2025-04-01,7,10,120-180min,26.8,5.2967914816424475,18.9,5.299905659537724,196.8,76.28378595743659,0.21430134324149006,0.06312043144555288,"79,80,82,84,90,91,92,93,94,95"
2025-04-02,8,10,120-180min,31.3,4.739303746332366,27.3,10.221594787507474,201.7,54.24722112698492,0.2238852783394484,0.10686858688086062,"79,80,82,84,90,91,92,93,94,95"
2025-04-03,9,10,120-180min,26.0,5.3065996645686395,23.6,7.145907919921722,199.5,49.764294428837225,0.1248424019504435,0.09834350178834143,"79,80,82,84,90,91,92,93,94,95"
2025-04-04,10,10,120-180min,20.0,3.580502757993631,18.1,5.666480389095156,108.5,25.135333695815536,0.18657979671997618,0.1098325922553753,"79,80,82,84,90,91,92,93,94,95"
2025-04-07,11,10,120-180min,28.4,5.988655942696992,14.0,3.9496835316262997,127.3,28.461219228978926,0.4335500554136308,0.13217964767751675,"79,80,82,84,90,91,92,93,94,95"
2025-04-08,12,10,120-180min,29.3,5.502817460174378,22.3,6.994354866604925,110.4,21.465879902766623,0.3090322347364601,0.1164310717806295,"79,80,82,84,90,91,92,93,94,95"
2025-04-09,13,10,120-180min,30.9,5.521684525577316,13.0,3.97994974842648,155.7,51.431712007282044,0.37516739072590133,0.11640709602273908,"79,80,82,84,90,91,92,93,94,95"
2025-04-10,14,10,120-180min,22.3,4.907239549889531,24.8,7.641727553374302,118.6,24.9179453406576,0.09012831128811281,0.13490682117328603,"79,80,82,84,90,91,92,93,94,95"
2025-04-11,15,10,120-180min,23.2,4.404089009091438,21.1,6.875245450163942,134.6,22.115695783764075,0.2077731414786938,0.10563284939874482,"79,80,82,84,90,91,92,93,94,95"
