subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
95,1,2025-03-24,120-180min,80,36,301,0.3793103448275862
95,2,2025-03-25,120-180min,65,32,977,0.3402061855670103
95,3,2025-03-26,120-180min,59,19,1199,0.5128205128205128
95,4,2025-03-27,120-180min,46,13,441,0.559322033898305
95,5,2025-03-28,120-180min,22,1,697,0.9130434782608695
95,6,2025-03-31,120-180min,20,7,328,0.48148148148148145
95,7,2025-04-01,120-180min,14,5,888,0.47368421052631576
95,8,2025-04-02,120-180min,24,7,563,0.5483870967741935
95,9,2025-04-03,120-180min,15,4,331,0.5789473684210527
95,10,2025-04-04,120-180min,12,2,134,0.7142857142857143
95,11,2025-04-07,120-180min,16,0,110,1.0
95,12,2025-04-08,120-180min,18,6,199,0.5
95,13,2025-04-09,120-180min,41,3,189,0.8636363636363636
95,14,2025-04-10,120-180min,30,10,201,0.5
95,15,2025-04-11,120-180min,19,2,164,0.8095238095238095
