subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
82,1,2025-03-24,120-180min,11,15,113,-0.15384615384615385
82,2,2025-03-25,120-180min,0,0,12,0.0
82,3,2025-03-26,120-180min,3,4,23,-0.14285714285714285
82,4,2025-03-27,120-180min,0,0,13,0.0
82,5,2025-03-28,120-180min,1,0,9,1.0
82,6,2025-03-31,120-180min,16,5,19,0.5238095238095238
82,7,2025-04-01,120-180min,0,0,0,0.0
82,8,2025-04-02,120-180min,11,3,12,0.5714285714285714
82,9,2025-04-03,120-180min,0,0,24,0.0
82,10,2025-04-04,120-180min,0,0,0,0.0
82,11,2025-04-07,120-180min,1,0,15,1.0
82,12,2025-04-08,120-180min,1,0,3,1.0
82,13,2025-04-09,120-180min,0,0,8,0.0
82,14,2025-04-10,120-180min,1,0,23,1.0
82,15,2025-04-11,120-180min,2,1,7,0.3333333333333333
