subject,session_number,date,time_window,active_lever,inactive_lever,reinforcers,discrimination_index
77,1,2025-03-24,0-180min,43,17,280,0.43333333333333335
77,2,2025-03-25,0-180min,81,16,91,0.6701030927835051
77,3,2025-03-26,0-180min,91,38,119,0.4108527131782946
77,4,2025-03-27,0-180min,111,16,159,0.7480314960629921
77,5,2025-03-28,0-180min,116,19,139,0.7185185185185186
77,6,2025-03-31,0-180min,63,15,146,0.6153846153846154
77,7,2025-04-01,0-180min,55,12,97,0.6417910447761194
77,8,2025-04-02,0-180min,64,8,75,0.7777777777777778
77,9,2025-04-03,0-180min,70,12,145,0.7073170731707317
77,10,2025-04-04,0-180min,66,13,89,0.6708860759493671
77,11,2025-04-07,0-180min,87,15,144,0.7058823529411765
77,12,2025-04-08,0-180min,85,10,64,0.7894736842105263
77,13,2025-04-09,0-180min,95,10,38,0.8095238095238095
77,14,2025-04-10,0-180min,97,9,53,0.8301886792452831
77,15,2025-04-11,0-180min,101,6,47,0.8878504672897196
